_framework_ref,id,framework,domain,sub_domain,control,detail
1.4.4,PCI DSS v4.0-1.4.4,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.4 Network connections between trusted and untrusted networks are controlled.,"1.4.4 System components that store cardholder data are not directly accessible from untrusted networks. Applicability Notes This requirement is not intended to apply to storage of account data in volatile memory but does apply where memory is being treated as persistent storage (for example, RAM disk). Account data can only be stored in volatile memory during the time necessary to support the associated business process (for example, until completion of the related payment card transaction).",
1.4.5,PCI DSS v4.0-1.4.5,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.4 Network connections between trusted and untrusted networks are controlled.,1.4.5 The disclosure of internal IP addresses and routing information is limited to only authorized parties.,
1.5.1,PCI DSS v4.0-1.5.1,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.5 Risks to the CDE from computing devices that are able to connect to both untrusted networks and the CDE are mitigated.,"1.5.1 Security controls are implemented on any computing devices, including company- and employee-owned devices, that connect to both untrusted networks (including the Internet) and the CDE as follows.  • Specific configuration settings are defined to prevent threats being introduced into the entity's network.  • Security controls are actively running. • Security controls are not alterable by users of the computing devices unless specifically documented and authorized by management on a case-by-case basis for a limited period. Applicability Notes These security controls may be temporarily disabled only if there is legitimate technical need, as authorized by management on a case-by-case basis. If these security controls need to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which these security controls are not active. This requirement applies to employee-owned and company-owned computing devices. Systems that cannot be managed by corporate policy introduce weaknesses and provide opportunities that malicious individuals may exploit.",
10.1.1,PCI DSS v4.0-10.1.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.1 Processes and mechanisms for performing activities in Requirement 10 are defined and documented.,10.1.1 All security policies and operational procedures that are identified in Requirement 10 are:  • Documented. • Kept up to date. • In use. • Known to all affected parties.,
10.1.2,PCI DSS v4.0-10.1.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.1 Processes and mechanisms for performing activities in Requirement 10 are defined and documented.,"10.1.2 Roles and responsibilities for performing activities in Requirement 10 are documented, assigned, and understood. New requirement - effective immediately",
10.2.1,PCI DSS v4.0-10.2.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1 Audit logs are enabled and active for all system components and cardholder data.,
10.2.1.1,PCI DSS v4.0-10.2.1.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.1 Audit logs capture all individual user access to cardholder data.,
10.2.1.2,PCI DSS v4.0-10.2.1.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.2 Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.",
10.2.1.3,PCI DSS v4.0-10.2.1.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.3 Audit logs capture all access to audit logs.,
10.2.1.4,PCI DSS v4.0-10.2.1.4,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.4 Audit logs capture all invalid logical access attempts.,
10.2.1.5,PCI DSS v4.0-10.2.1.5,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.5 Audit logs capture all changes to identification and authentication credentials including, but not limited to: • Creation of new accounts. • Elevation of privileges. • All changes, additions, or deletions to accounts with administrative access.",
10.2.1.6,PCI DSS v4.0-10.2.1.6,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.6 Audit logs capture the following:  • All initialization of new audit logs, and  • All starting, stopping, or pausing of the existing audit logs.",
10.2.1.7,PCI DSS v4.0-10.2.1.7,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.7 Audit logs capture all creation and deletion of system-level objects.,
10.2.2,PCI DSS v4.0-10.2.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.2 Audit logs record the following details for each auditable event: • User identification. • Type of event. • Date and time. • Success and failure indication. • Origination of event. • Identity or name of affected data, system component, resource, or service (for example, name and protocol).",
10.3.1,PCI DSS v4.0-10.3.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.1 Read access to audit logs files is limited to those with a job-related need.,
10.3.2,PCI DSS v4.0-10.3.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.2 Audit log files are protected to prevent modifications by individuals.,
10.3.3,PCI DSS v4.0-10.3.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,"10.3.3 Audit log files, including those for external-facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify.",
10.3.4,PCI DSS v4.0-10.3.4,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.4 File integrity monitoring or change-detection mechanisms is used on audit logs to ensure that existing log data cannot be changed without generating alerts.,
10.4.1,PCI DSS v4.0-10.4.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,"10.4.1 The following audit logs are reviewed at least once daily: • All security events.  • Logs of all system components that store, process, or transmit CHD and/or SAD. • Logs of all critical system components. • Logs of all servers and system components that perform security functions (for example, network security controls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers).",
